current,ancestor,distance
HP:0001177,HP:0001177,0
HP:0001177,HP:0100258,1
HP:0001177,HP:0001161,1
HP:0001177,HP:0001172,1
HP:0001177,HP:0010442,2
HP:0001177,HP:0009997,2
HP:0001177,HP:0001167,2
HP:0001177,HP:0011297,3
HP:0001177,HP:0004275,3
HP:0001177,HP:0005918,3
HP:0001177,HP:0001155,3
HP:0001177,HP:0002813,4
HP:0001177,HP:0009142,4
HP:0001177,HP:0002817,4
HP:0001177,HP:0011844,5
HP:0001177,HP:0040068,5
HP:0001177,HP:0040064,5
HP:0001177,HP:0011842,6
HP:0001177,HP:0000924,6
HP:0001177,HP:0000118,6
HP:0025144,HP:0025144,0
HP:0025144,HP:0025142,1
HP:0025144,HP:0000118,2
HP:0001176,HP:0001176,0
HP:0001176,HP:0005922,1
HP:0001176,HP:0001155,2
HP:0001176,HP:0002817,3
HP:0001176,HP:0040064,4
HP:0001176,HP:0000118,5
HP:0025143,HP:0025143,0
HP:0025143,HP:0025142,1
HP:0025143,HP:0000118,2
HP:0025142,HP:0025142,0
HP:0025142,HP:0000118,1
HP:0001178,HP:0001178,0
HP:0001178,HP:0001155,1
HP:0001178,HP:0002817,2
HP:0001178,HP:0040064,3
HP:0001178,HP:0000118,4
HP:0025141,HP:0025141,0
HP:0025141,HP:0000168,1
HP:0025141,HP:0010766,1
HP:0025141,HP:0011830,2
HP:0025141,HP:0000924,2
HP:0025141,HP:0000163,3
HP:0025141,HP:0000118,3
HP:0025141,HP:0031816,4
HP:0025141,HP:0000153,5
HP:0025141,HP:0000271,6
HP:0025141,HP:0000234,7
HP:0025141,HP:0000152,8
HP:0025148,HP:0025148,0
HP:0025148,HP:0000610,1
HP:0025148,HP:0000553,2
HP:0025148,HP:0001098,2
HP:0025148,HP:0012372,3
HP:0025148,HP:0004329,3
HP:0025148,HP:0000478,4
HP:0025148,HP:0000118,5
HP:0001172,HP:0001172,0
HP:0001172,HP:0001167,1
HP:0001172,HP:0001155,2
HP:0001172,HP:0011297,2
HP:0001172,HP:0002817,3
HP:0001172,HP:0002813,3
HP:0001172,HP:0040064,4
HP:0001172,HP:0011844,4
HP:0001172,HP:0040068,4
HP:0001172,HP:0000118,5
HP:0001172,HP:0011842,5
HP:0001172,HP:0000924,5
HP:0025147,HP:0025147,0
HP:0025147,HP:0008002,1
HP:0025147,HP:0001103,2
HP:0025147,HP:0000479,3
HP:0025147,HP:0001098,4
HP:0025147,HP:0004329,5
HP:0025147,HP:0012372,6
HP:0025147,HP:0000478,7
