"source","code","test_name","unit","loinc","default_unit"
"EPIC","4709","WHITE BLOOD CELL","x10 3/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","x10E3/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL",NA,"6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","X10","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","X103/UL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","Thous/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","X10E6/uL","72348-6","10*6/L"
"EPIC","4709","WHITE BLOOD CELL","x10(3)uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","K/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","x10","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","10^3/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","K/UL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","THDS/CMM","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","x10^3/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","k/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","k/ul","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","10E3/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","Thous/mcL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","K/cmm","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","thous/mcl","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","x10(3)/mcl","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","Thou/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","X10E3/uL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","10*3/ul","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","K/mcL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","k/cu mm","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","x10E3/UL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","x10(3)(uL)","6690-2","10*9/L"
