"source","code","test_name","unit","loinc","default_unit"
"EPIC","1","ALBUMIN","G/DL","1751-7","g/dL"
"EPIC","1","ALBUMIN",NA,"1751-7","g/dL"
"EPIC","10000","ATYPICAL LYMPHOCYTES","%","735-1","%"
"EPIC","10001","BAND CELL","%","764-1","%"
"EPIC","10002","METAMYELOCYTE","%","740-1","%"
"EPIC","10003","MYELOCYTE","%","749-2","%"
"EPIC","10004","PROMYELOCYTE","%","783-1","%"
"EPIC","10005","BLASTS","%","709-6","%"
"EPIC","10006","PLASMA CELL","%","13047-6","%"
"EPIC","10008","PLATELET ESTIMATE",NA,"49497-1","10*3/mm3"
"EPIC","10009","# CELLS COUNTED",NA,"11282-1","#"
"EPIC","10012","ANTI-GLIADIN IGG ELISA","U/ml","20496-6","kEU/L"
"EPIC","10012","ANTI-GLIADIN IGG ELISA",NA,"20496-6","kEU/L"
"EPIC","10013","ANTI-GLIADIN IGA ELISA","U/ml","20495-8","kEU/L"
"EPIC","10013","ANTI-GLIADIN IGA ELISA",NA,"20495-8","kEU/L"
"EPIC","10015","ANTI-ENDOMYSIAL IGA",NA,"10362-2",NA
"EPIC","10016","TOTAL SERUM IGA NEPH","mg/dl","2458-8","mg/dL"
"EPIC","10016","TOTAL SERUM IGA NEPH",NA,"2458-8","mg/dL"
"EPIC","10018","PRO-PREDICT ENZACT",NA,"79713-4","units/mL RBC"
"EPIC","10019","TPMT ENZYME ACTIVITY","EU","21563-2","U/mL RBC"
"EPIC","10019","TPMT ENZYME ACTIVITY",NA,"21563-2","U/mL RBC"
"EPIC","10021","PRO-PREDICT METABOLITES",NA,"82869-9",NA
"EPIC","10022","6-TGN","pmole/8X10E8 RBC","32660-3","pmol/8x10*8 RBC"
"EPIC","10022","6-TGN","PMOLE/8X10E8RBC","32660-3","pmol/8x10*8 RBC"
"EPIC","10022","6-TGN",NA,"32660-3","pmol/8x10*8 RBC"
"EPIC","10023","6-MMPN","pmole/8X10E8 RBC","32654-6","pmol/8x10*8 RBC"
"EPIC","10023","6-MMPN","PMOLE/8X10E8RBC","32654-6","pmol/8x10*8 RBC"
"EPIC","10023","6-MMPN",NA,"32654-6","pmol/8x10*8 RBC"
"EPIC","10026","ASCA IGA ELISA","EU/ml","47320-7","U"
"EPIC","10026","ASCA IGA ELISA",NA,"47320-7","U"
"EPIC","10027","ASCA IGG ELISA","EU/ml","47321-5","U"
"EPIC","10027","ASCA IGG ELISA",NA,"47321-5","U"
"EPIC","10029","ANTI-OMPC IGA ELISA","EU/ml","66482-1","U/mL"
"EPIC","10029","ANTI-OMPC IGA ELISA",NA,"66482-1","U/mL"
"EPIC","10038","SERUM INFLIXIMAB MSRM","mcg/ml","39803-2","ug/mL"
"EPIC","10049","D-DIMER","UG/ML FEU","48065-7","ug/L FEU"
"EPIC","10049","D-DIMER",NA,"48065-7","ug/L FEU"
"EPIC","10055","RUTTENBERG CBC",NA,"57021-8",NA
"EPIC","10057","ACYLCARNITINE PRO.",NA,"43433-2",NA
"EPIC","10093","H. PYLORI AG, (FECES)",NA,"17780-8",NA
"EPIC","10094","SOURCE",NA,"31208-2",NA
"EPIC","10098","NORFENTANYL","ng/mL","11074-2","ng/mL"
"EPIC","10100","VITAMIN E (B-GAMMA)","mg/L","63370-1","mg/L"
"EPIC","10100","VITAMIN E (B-GAMMA)",NA,"63370-1","mg/L"
"EPIC","10103","5-1-1(P)/C100(P)",NA,"23870-9",NA
"EPIC","10106","NS5",NA,"23871-7",NA
"EPIC","10113","ISLET CELL ANTIBODY",NA,"13927-9","titer"
"EPIC","10115","ISLET CELL AB TITER","JDF units","13927-9","titer"
"EPIC","10115","ISLET CELL AB TITER",NA,"13927-9","titer"
"EPIC","10116","ASPERGILLUS ANTIBODIES",NA,"7808-9",NA
"EPIC","10117","ASPERGILLUS FLAVUS AB",NA,"9490-4",NA
"EPIC","10118","ASPERGILLUS NIGER AB",NA,"22086-3",NA
"EPIC","10119","ASPERGILLUS FUMIGATUS AB",NA,"6025-1","kIU/L"
"EPIC","10121","ASPERGILLUS FUMIGATUS",NA,"6025-1","kIU/L"
"EPIC","10122","MICROPOLYSPORA FAENI",NA,"22412-1",NA
"EPIC","10123","PIGEON SERUM",NA,"6733-0",NA
"EPIC","10124","T. CANDIDUS",NA,"5376-9","u/mL"
